id,name,type,begin_area_id,begin_area_name,area_id,area_name,place_id,place
6c8fd0be-d961-454c-aee0-4366a6dbc993,Sam Cooke,Person,82a4e867-19e7-4968-9031-10aaf1c6895b,Clarksdale,489ce91b-6658-3307-9877-795b68554c98,United States,82a4e867-19e7-4968-9031-10aaf1c6895b,Clarksdale
c2f37fdf-5e8f-4d9c-9a03-219a8239cf5f,Percy Sledge,Person,6c8d37e2-8a11-41df-be46-e925fcf0c0cf,Leighton,489ce91b-6658-3307-9877-795b68554c98,United States,6c8d37e2-8a11-41df-be46-e925fcf0c0cf,Leighton
c3f28da8-662d-4f09-bdc7-3084bf685930,Iron & Wine,Person,9467f934-dffb-4a36-99c2-3ae0e636f2d1,Chapin,489ce91b-6658-3307-9877-795b68554c98,United States,9467f934-dffb-4a36-99c2-3ae0e636f2d1,Chapin
d8df96ae-8fcf-4997-b3e6-e5d1aaf0f69e,The Temptations,Group,b03ff310-d8e2-45cf-9455-769f76641eb2,Detroit,489ce91b-6658-3307-9877-795b68554c98,United States,b03ff310-d8e2-45cf-9455-769f76641eb2,Detroit
8be0594f-8c13-46bb-ab06-f93ffba5c776,Tony Bennett,Person,ecc58238-4ef4-4eaa-8c55-2c50707dc591,Astoria,489ce91b-6658-3307-9877-795b68554c98,United States,ecc58238-4ef4-4eaa-8c55-2c50707dc591,Astoria
8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,John Mayer,Person,d65e525b-eac9-493c-bc78-0204c7285670,Kolkata,d31a9a15-537f-3669-ad53-25753ddd2772,India,d65e525b-eac9-493c-bc78-0204c7285670,Kolkata
437a0e49-c6ae-42f6-a6c1-84f25ed366bc,Bon Iver,Group,523fa8c2-7ccc-4a31-98a8-98d80e42a0c4,Eau Claire,489ce91b-6658-3307-9877-795b68554c98,United States,523fa8c2-7ccc-4a31-98a8-98d80e42a0c4,Eau Claire
e22d2f66-881e-41ca-9356-544697ee5f90,Etta James,Person,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles,489ce91b-6658-3307-9877-795b68554c98,United States,1f40c6e1-47ba-4e35-996f-fe6ee5840e62,Los Angeles
11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,The White Stripes,Group,b03ff310-d8e2-45cf-9455-769f76641eb2,Detroit,489ce91b-6658-3307-9877-795b68554c98,United States,b03ff310-d8e2-45cf-9455-769f76641eb2,Detroit
c5a05cda-2f00-4566-9e1d-7b366fcdbfff,Oi Va Voi,Group,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,f03d09b3-39dc-4083-afd6-159e3f0d462f,London
89942abd-fdaa-48fc-a8cf-649746303c97,Timber Timbre,Group,74b24e62-d2fe-42d2-9d96-31f2da756c77,Toronto,71bbafaa-e825-3e15-8ca9-017dcad1748b,Canada,74b24e62-d2fe-42d2-9d96-31f2da756c77,Toronto
70b2bb3e-873e-4e32-bbc7-a401b4c88d48,Estas Tonné,Person,,,1f1fc3a4-9500-39b8-9f10-f0a465557eef,Russia,1f1fc3a4-9500-39b8-9f10-f0a465557eef,Russia
fd0f1d5f-5d8c-4fcd-9d3c-0c9f20cddc08,The Black Heart Procession,Group,82f3a697-ba65-404d-a1ed-360147af7d10,San Diego,489ce91b-6658-3307-9877-795b68554c98,United States,82f3a697-ba65-404d-a1ed-360147af7d10,San Diego
eb872766-98f6-453d-883f-2ae908a18315,TV on the Radio,Group,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn,489ce91b-6658-3307-9877-795b68554c98,United States,a71b0d32-7752-49e9-8594-2247ad6ac12c,Brooklyn
8970d868-0723-483b-a75b-51088913d3d4,Moby,Person,7e037c94-d999-4611-a8fd-56e8770f2e3c,Harlem,489ce91b-6658-3307-9877-795b68554c98,United States,7e037c94-d999-4611-a8fd-56e8770f2e3c,Harlem
92bf83e0-d79e-4390-871a-8f108bb50f82,O Terno,Group,f45b47f8-5796-386e-b172-6c31b009a5d8,Brazil,204dd468-f79e-475d-94a7-64e417246439,São Paulo,f45b47f8-5796-386e-b172-6c31b009a5d8,Brazil
e3954b21-0d05-45ea-a057-e8cc4c9b1ab5,Nação Zumbi,Group,85e6632e-0dd9-45c8-ae85-8a7ec6310e4a,Recife,f45b47f8-5796-386e-b172-6c31b009a5d8,Brazil,85e6632e-0dd9-45c8-ae85-8a7ec6310e4a,Recife
9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6,Nirvana,Group,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,f03d09b3-39dc-4083-afd6-159e3f0d462f,London
99f4b23d-3711-4efe-ad71-9572158e234c,Mark Kozelek,Person,0573177b-9ff9-4643-80bc-ed2513419267,Ohio,489ce91b-6658-3307-9877-795b68554c98,United States,0573177b-9ff9-4643-80bc-ed2513419267,Ohio
81df2271-03a1-46a3-bb30-cce187235312,The Darkness,Group,e51b505b-de92-4d33-8bed-747d323fbb66,Lowestoft,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,e51b505b-de92-4d33-8bed-747d323fbb66,Lowestoft
b72a8045-be73-4cf8-a89d-f2a5cc55ee11,Causa Sui,Group,,,,,,
aedd8552-370c-4db0-b0d4-e20d219ab16d,Mor ve Ötesi,Group,,,d3be28b4-41f7-3752-8a05-ed45e1d1e492,Turkey,d3be28b4-41f7-3752-8a05-ed45e1d1e492,Turkey
c0eee88b-47f2-4cd2-ac48-a045e902a432,Ween,Group,066103f1-d4e7-4ff1-b26f-4d698fad081b,New Hope,489ce91b-6658-3307-9877-795b68554c98,United States,066103f1-d4e7-4ff1-b26f-4d698fad081b,New Hope
c8a26e97-e5f5-4f1c-8eb3-e2453b6cf262,Daniel Norgren,Person,,,23d10872-f5ae-3f0c-bf55-332788a16ecb,Sweden,23d10872-f5ae-3f0c-bf55-332788a16ecb,Sweden
8e67406d-de61-4e6b-a2a1-5a3725484527,Blackfield,Group,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom
0c46a5a0-3a8d-4a2f-8705-95521435685b,Banyan,Group,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States
4ced64a4-1731-43c2-aaed-dbb3725fab9d,The Parlor Mob,Group,10fa66f7-aa08-4823-8af8-52108f350a5a,Asbury Park,489ce91b-6658-3307-9877-795b68554c98,United States,10fa66f7-aa08-4823-8af8-52108f350a5a,Asbury Park
bdf9a24e-2bb5-4218-b4d8-e33769843f24,Chris Stapleton,Person,,,,,,
